Generation,TotalEnergy_J,AverageDelay_Hops,MinResidual_J
0,0.03573946128780243,2.6,1.996053383714732
1,0.03300107868302002,2.425,1.9930313245718292
2,0.03017555625108392,2.275,1.9969126581787975
3,0.03017555625108392,2.275,1.9969126581787975
4,0.028557914003970637,2.175,1.9966236039059988
5,0.028557914003970637,2.175,1.9966236039059988
6,0.027576865619881433,2.1,1.9966236039059988
7,0.025944018074195094,2.0,1.996996606814902
8,0.025944018074195094,2.0,1.996996606814902
9,0.025377456497266793,1.975,1.9966236039059988
10,0.02459271565943992,1.925,1.997070653417749
11,0.02453749141643773,1.925,1.997517702929499
12,0.024047247645442152,1.9,1.9977974551111766
13,0.024047247645442152,1.9,1.9977974551111766
14,0.023999274114829928,1.9,1.998043223130588
15,0.02358239908277175,1.875,1.998043223130588
16,0.023543859679220284,1.875,1.9979647524412492
17,0.02319487723851062,1.85,1.9973970309630393
18,0.02317393239015106,1.85,1.9984745785044704
19,0.022858414200373857,1.825,1.9977106045519222
20,0.02282179552088914,1.825,1.998043223130588
21,0.022751537015097772,1.825,1.998043223130588
22,0.022102529932973736,1.775,1.9979647524412492
23,0.021950424460831716,1.775,1.998043223130588
24,0.021950424460831716,1.775,1.998043223130588
25,0.021950424460831716,1.775,1.998043223130588
26,0.02194459141345054,1.775,1.998043223130588
27,0.021935501601425503,1.775,1.998043223130588
28,0.021560080156394327,1.75,1.998043223130588
29,0.021541158581133486,1.75,1.998043223130588
30,0.021513376137945198,1.75,1.998043223130588
31,0.021508879682009287,1.75,1.998043223130588
32,0.021508879682009287,1.75,1.998043223130588
33,0.021508879682009287,1.75,1.998043223130588
34,0.021508879682009287,1.75,1.998043223130588
35,0.021501062707459582,1.75,1.998043223130588
36,0.021501062707459582,1.75,1.998043223130588
37,0.02149960263488116,1.75,1.998043223130588
38,0.02149960263488116,1.75,1.998043223130588
39,0.021492902038137956,1.75,1.998043223130588
40,0.021492902038137956,1.75,1.998043223130588
41,0.02149144196555953,1.75,1.998043223130588
42,0.02148670063989983,1.75,1.998043223130588
43,0.02148670063989983,1.75,1.998043223130588
44,0.021485240567321404,1.75,1.998043223130588
45,0.021485240567321404,1.75,1.998043223130588
46,0.021485240567321404,1.75,1.998043223130588
47,0.021485240567321404,1.75,1.998043223130588
48,0.021485240567321404,1.75,1.998043223130588
49,0.021485240567321404,1.75,1.998043223130588
